algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,similarity_score,,book_title,recommended_description
,,,,,4689.0,0.997,,Stone of Tears,"In Wizard's First Rule, Richard Cypher's world was turned upside down. Once a simple woods guide, Richard was forced to become the Seeker of Truth, to save the world from the vile dominance of Darken Rahl, the most viciously savage and powerful wizard the world had ever seen. He was joined on this epic quest by his beloved Kahlan, the only survivor among the Confessors, who brought a powerful but benevolent justice to the land before Rahl's evil scourge. Aided by Zedd, the last of the wizards who opposed Rahl, they were able to cast him into the underworld, saving the world from the living hell of life under Rahl.But the veil to the underworld has been torn, and Rahl, from beyond the veil, begins to summon a sinister power more dreadful than any he has wielded before. Horrifying creatures escape through the torn veil, wreaking havoc on the unsuspecting world above.If Rahl isn't stopped, he will free the Keeper itself, an evil entity whose power is so vast and foul that once freed, it can never again be contained.Richard and Kahlan must face Rahl and the Keeper's terrible minions. But first, Richard must endure the ministrations of the Sisters of the Light, or die from the pain of magic that is his birthright and his curse. While Richard undertakes the arduous journey to the forbidden city of the Sisters, Kahlan must embark upon a long and dangerous mission to Aydindril, citadel of the old wizards, where she hopes to find Zedd and the help only he can lend to their desperate cause.War, suffering, torture, and deceit lie in their paths, and nothing will save them from a destiny of violent death, unless their courage and faith are joined with luck and they find the elusive...Stone of Tears."
,,,,,12361.0,0.997,,The House of Hades,"Hazel stands at a crossroads. She and the remaining crew of the Argo II could return home with the Athena Parthenos statue and try to stop Camp Half-Blood and Camp Jupiter from going to war. Or they could continue their quest to find the House of Hades, where they might be able to open the Doors of Death, rescue their friends Percy and Annabeth from Tartarus, and prevent monsters from being reincarnated in the mortal world. Whichever road they decide to take, they have to hurry, because time is running out. Gaea, the bloodthirsty Earth Mother, has set the date of August 1 for her rise to power.Annabeth and Percy are overwhelmed. How will the two of them make it through Tartarus? Starving, thirsty, and in pain, they are barely able to stumble on in the dark and poisonous landscape that holds new horrors at every turn. They have no way of locating the Doors of Death. Even if they did, a legion of Gaea's strongest monsters guards the Doors on the Tartarus side. Annabeth and Percy can't exactly launch a frontal assault.Despite the terrible odds, Hazel, Annabeth, Percy, and the other demigods of the prophecy know that there is only one choice: to attempt the impossible. Not just for themselves, but for everyone they love. Even though love can be the riskiest choice of all.Join the demigods as they face their biggest challenges yet in The House of Hades, the hair-raising penultimate book in the best-selling Heroes of Olympus series."
,,,,,189.0,0.997,,Dreams of Winter,"Under the rigid guidance of the Conclave; an order of holy men seeking to bring back the glory of the time of the gods, the Order of the Inquisition and their Prekhauten Guard divisions the seven hundred known worlds carve out a new empire with the compassion and wisdom the gods once offered. But a terrible secret, known only to the most powerful, threatens to undo three millennia of progress. The gods are not dead at all. They merely sleep. And they are being hunted.  Senior Inquisitor Tolde Breed is sent to the planet Crimeat to investigate the escape of one of the most deadly beings in the universe. Amongeratix, one of the three sons of the god-king is loose once again, the fabled Three. Tolde arrives on a world where heresy breeds insurrection and war is only a matter of time. Tolde is aided by Sister Abigail of the Order of Blood Witches in his quest to find Amongeratix and return him to Conclave custody before he can begin his reign of terror. What he doesnÃ¢ÂÂt know is that the Three are already operating on Crimeat. Each serves a different emotion: Vengeance, Sorrow and Redemption. Their touch drives the various characters beyond themselves and towards an uncertain future that can only end one of two ways. Either the Three win and finally destroy the gods, or humanity stops them and continues to survive."
,,,,,6489.0,0.997,,The Shining Court,"IN THE DOMINION --those allied with the demons of the Shining Court feared the bargain they'd made. For to the kialli betrayal was a way of life, and every action was a means to gain greater power. And as the Festival of the Moon approached, the demon kin began to prey upon those in the Tor Leonne. But more frightening than their presence was their ""gift"" for the Festival, masks created not by human craftsmen but by the kialli. Even the magic and knowledge of the greatest of the Dominion's Widan had been unable to discern what trap the masks contained--and time to discover and avert this menace was running out....IN THE EMPIRE --the armies were mobilizing for war. But before they carried the battle to the Dominion, Seer Jewel ATerafin would be forced to follow her own destiny. For what she'd seen in vision she could not deny. And so Jewel, with only Avander to guard her back, would abandon House Terafin on the eve of its greatest peril and journey into the darkness which was fast overshadowing the mortal lands....AND AMONG THE VOYANI --the moment had come to make their final stand against Allasakar, Lord of the Hells, for they alone had kept to the old ways, guarding the ancient knowledge. But hounded by their enemies, and with one of their greatest treasures hidden in the Tor Leonne, could they withstand the power of the Shining Court?"
,,,,,4600.0,0.996,,The Secret,"Only when the darkness falls can you see the light of the stars.For thousands of years, the scribes and singers of the Irin race have existed to protect humanity and guard the gifts of the Forgiven. They have lived in the shadows. They have kept their secrets.But the Irin arenÃ¢ÂÂt the only race with secrets.Ava and Malachi have found each other, but wounds as deep as theirs donÃ¢ÂÂt heal overnight. While the Irin world struggles to correct the power imbalance left by the Rending of the Irina, Malachi and Ava struggle to connect their past with their present.The Fallen may scheme, but Ava has found her power and refuses to be an angelÃ¢ÂÂs pawn. And while Malachi may have forgotten his history, the scribeÃ¢ÂÂs relentless search for answers leads both him and his mate to the heart of the Irin power structure in Vienna, where knowledge is guarded more closely than gold and those with power will do anything to keep it.Malachi and Ava have survived the darkness, but will they ever discover its secrets? A powerful cabal of the Fallen may hold the answers, but to surrender them, it wants the Irin race to finally face their enemies. Both those coming from the outside, and those raging within.THE SECRET is the third book in the contemporary fantasy series, the Irin Chronicles, and the conclusion of Ava and MalachiÃ¢ÂÂs journey."
,,,,,2233.0,0.996,,Dragons of Autumn Twilight,"This Dungeons & Dragons-inspired fantasy adventure is the first installment in the beloved Dragonlance Chronicles, set in the magical world of Krynn. Once merely creatures of legend, the dragons have returned to Krynn. But with their arrival comes the departure of the old godsÃ¢ÂÂand all healing magic. As war threatens to engulf the land, lifelong friends reunite for an adventure that will change their lives and shape their world forever . . .  When Tanis, Sturm, Caramon, Raistlin, Flint, and Tasslehoff see a woman use a blue crystal staff to heal a villager, they wonder if it's a sign the gods have not abandoned them after all. Fueled by this glimmer of hope, the Companions band together to uncover the truth behind the gods' absenceÃ¢ÂÂthough they aren't the only ones with an interest in the staff. The Seekers, a new religious order, wants the artifact for their own ends, believing it will help them replace the gods and overtake the continent of Ansalon. Now, the Companions must assume the unlikely roles of heroes if they hope to prevent the staff from falling into the hands of darkness.Lifelong friends, they went their separate ways. Now they are together again, though each holds secrets from the others in his heart. They speak of a world shadowed with rumors of war. They speak of tales of strange monsters, creatures of myth, creatures of legend. They do not speak of their secrets. Not then. Not until a chance encounter with a beautiful, sorrowful woman, who bears a magical crystal staff, draws the companions deeper into the shadows, forever changing their lives and shaping the fate of the world.No one expected them to be heroes.Least of all, them."
,,,,,340.0,0.996,,The Orb of Truth,"In the hundreds of years since the Holy City disappeared, darkness has fallen over the land. Human kingdoms have seized control of the realm, scattering the other races into hiding.Bridazak, a skilled thief, and his friends, a Dwarf and a fellow Ordakian, have dared to remain within the human communities and live relatively quiet lives, until they discover a mysterious, magical artifact. The three friends are thrust into an adventure that will challenge their faith, their purpose, and their destiny as they chase a forgotten and lost prophecy across the realm of Ruauck-El, where they hope to discover the origins of the strange item and their place in its history.An ancient, unknown enemy threatens the completion of their journey at every turn. Bridazak is about to face the biggest adventure of his life, one that may change the known realm, and answer the questions he has carried all his life. Will they unlock the truth?"
,,,,,6830.0,0.996,,Chamber of the Dragon's Soul: Awakenings,"What if everything you ever knew was a lie? Your whole life conjured by another? Would you know the truth if you saw it? Could you believe the impossible? Embrace a world just beyond your dreams A place of mystery & wonder..... John and Tom were lost in a world Tom felt was never their own. Their peaceful secluded lives would become chaos in a flash of memories long buried in the mind of a child on the verge of an awakening. Across the void, Lynkara must reach out to her brothers and bring them to an unimaginable homecoming on the eve of annihilation by the darkest powers her world has ever known. Together with a band of new found friends they must search out and acquire the twelve SWORDS OF POWER bestowed to the ruling families of all the countries on their world by the Creator himself. A few brave souls will join the quest to save themselves and their world from the coming darkness. However, Lord Camas of Jahanna refuses to give up his power and forges an unlikely alliance with Prince Reven of Amador. For a deadly price he will unleash his monstrous hordes upon the rest of the world. Together they will rage an unending war that will encompass the face of Astridia in chaos and bloodshed for years to come. With the uneasy alliance in place Lord Camas calls on the Dark magic's of old and the Ancient dragon TOPHET, whose very name means Death. He was conjured by the black warlock Kemmal in the bowels of Hell itself to conquer the entire world."
,,,,,11881.0,0.996,,Dark Horde Rising,"A thousand years have passed since the Elder Kingdoms were lost. Once the Elder races ruled all the northern lands and their knowledge and power were legend. What calamity befell them, none now know. Centuries on and the north is a land where fell beasts and evil creatures roam unchecked, save in one place, the Wildlands of Darylor. Here mankind has slowly begun to explore and settle where once the Elder ruled, and within those lands, built amidst the ruins of a lost Elder city, lies the College of Magic. Inside, mankind seeks to rediscover the lost magics of old, but in secret one man desires the power to rule all and will stop at nothing to achieve his dream. Meanwhile, in the city of Shandrilos, in the shadow of the College of Magic, a groups of friends come together. Jon 'Bear' Madraig, fighter and mage, and his best friend the roguish swordsman and knight, Darin of Kenarth come to meet old friends and relive past adventures. The master mage, Arkadi Talcost and the beautiful druid, Rebba Korran, seek only to relax and enjoy some time away from the demands of their work and the College. For these friends, this is merely a reunion. However, for Zara Halven, the notorious Whore of Ostia, and for the monk, Garon Vale, the visit to Shandrilos is more; for one it is a chance for redemption and for the other it is a test of faith. Yet for the last of the friends, the visit to Shandrilos is the most important of all. For the huntress, Nat Bero it is a chance for forgiveness... and for revenge. These friends will be caught up in events that will change their lives forever, for the secret behind the destruction of the Elder is about to come to light... ""The fate of all can be decided by the actions of one who the gods guide to the right place at the right time. Do not underestimate the power of even the lowest to affect the paths of the mighty..."" The words of the seeress, Ry'Ina White Eyes If you are a reader of epic fantasy this is what you are looking for. If you liked Terry Brook's Shanara novels, Raymond E. Feist's Midkemia books, Harry Potter, Game of Thrones or Lord of the Rings then this is a book for you. In the same vein as the Wheel of Time and akin to the gaming fantasy of the Dragonlance books, Dark Horde Rising will propel you into a detailed new world of magic and mystery while introducing you to a whole range of new and interesting characters."
,,,,,3628.0,0.996,,Claiming Excalibur,"Aliana Fagan has done what many thought impossible: sheÃ¢ÂÂs awakened King Arthur from his fifteen-hundred-year sleep, reunited the Knights of the Round Table, and even beaten Mordrid and Morgana LeFay in battle.But the Destined OneÃ¢ÂÂs quest has only begun.Before the knights can ""unearth and reclaim their lost relics"" they must survive the trip to Charleston, South Carolina and meet the newest member of the Round Table. If King ArthurÃ¢ÂÂs men thought Aliana and Lacy were tenacious, they'll be even more surprised by Dawn, the third member of the fem-trio. Deadly secrets, unexpected allies, and a traitor lurking in the shadows await Aliana and the new Round Table as they continue their search for Excalibur. Their only clue is a beyond confusing poem from a mysterious book that speaks of a terrifying creature guarding the legendary sword. Trying to build a somewhat normal relationship with Sir Galahad adds a whole new level of complexity to AlianaÃ¢ÂÂs task, especially when several among them suspect the White Knight may not be wholly himself. Her friendship with King Arthur grows closer, and when circumstances become intense, he may finally get the chance with Aliana that heÃ¢ÂÂs been pining for.Mysteries, legendary quests, and haunting memories will either unite the members of the New Round Table or fracture their bonds. Aliana and her crew only have seven months before the planets align and Mordrid can seize the power he needs to conquer the seven realms. Can the Destined One keep her new family together and lead Arthur to his destiny of saving the realms? Or will a centuries-old plot for revenge finally spell the kingÃ¢ÂÂs end?"
