algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,similarity_score,,book_title,recommended_description
,,,,,646.0,0.674,,Bring Up the Bodies,"Alternate Cover Edition ISBN 0805090037 (ISBN13: 9780805090031)Though he battled for years to marry her, Henry VIII has become disenchanted with the audacious Anne Boleyn. She has failed to give him a son, and her sharp intelligence and strong will have alienated his old friends and the noble families of England.When the discarded Katherine, Henry's first wife, dies in exile from the court, Anne stands starkly exposed, the focus of gossip and malice, setting in motion a dramatic trial of the queen and her suitors for adultery and treason. At a word from Henry, Thomas Cromwell is ready to bring her down. Over a few terrifying weeks, Anne is ensnared in a web of conspiracy, while the demure Jane Seymour stands waiting her turn for the poisoned wedding ring. But Anne and her powerful family will not yield without a ferocious struggle. To defeat the Boleyns, Cromwell must ally himself with his enemies. What price will he pay for Annie's head?"
,,,,,11814.0,0.65,,The Kingmaker's Daughter,"In this New York Times bestseller that inspired the critically acclaimed Starz miniseries The White Queen , Philippa Gregory tells the tale of Anne Neville, a beautiful young woman who must navigate the treachery of the English court as her father, known as the Kingmaker, uses her and her sister as pawns in his political game.The KingmakerÃ¢ÂÂs Daughter Ã¢ÂÂPhilippa GregoryÃ¢ÂÂs first sister story since The Other Boleyn Girl Ã¢ÂÂis the gripping tale of the daughters of the man known as the Kingmaker, Richard Neville, Earl of the most powerful magnate in fifteenth-century England. Without a son and heir, he uses his daughters, Anne and Isabel, as pawns in his political games, and they grow up to be influential players in their own right.At the court of Edward IV and his beautiful queen, Elizabeth Woodville, Anne grows from a delightful child to become ever more fearful and desperate when her father makes war on his former friends. Married at age fourteen, she is soon left widowed and fatherless, her mother in sanctuary and her sister married to the enemy. Anne manages her own escape by marrying Richard, Duke of Gloucester, but her choice will set her on a collision course with the overwhelming power of the royal family."
,,,,,7837.0,0.629,,The Six Wives of Henry VIII,"The tempestuous, bloody, and splendid reign of Henry VIII of England (1509-1547) is one of the most fascinating in all history, not least for his marriage to six extraordinary women. In this accessible work of brilliant scholarship, Alison Weir draws on early biographies, letters, memoirs, account books, and diplomatic reports to bring these women to life. Catherine of Aragon emerges as a staunch though misguided woman of principle; Anne Boleyn, an ambitious adventuress with a penchant for vengeance; Jane Seymour, a strong-minded matriarch in the making; Anne of Cleves, a good-natured and innocent woman naively unaware of the court intrigues that determined her fate; Catherine Howard, an empty-headed wanton; and Catherine Parr, a warm-blooded bluestocking who survived King Henry to marry a fourth time."
,,,,,1968.0,0.619,,These Hollow Vows,"From New York Times best-selling author Lexi Ryan, Cruel Prince meets A Court of Thorns and Roses in this sexy, action-packed fantasy about a girl who is caught between two treacherous faerie courts and their dangerously seductive princes.Brie hates the Fae and refuses to have anything to do with them, even if that means starving on the street. But when her sister is sold to the sadistic king of the Unseelie court to pay a debt, she'll do whatever it takes to get her backÃ¢ÂÂincluding making a deal with the king himself to steal three magical relics from the Seelie court.Gaining unfettered access to the Seelie court is easier said than done. Brie's only choice is to pose as a potential bride for Prince Ronan, and she soon finds herself falling for him. Unwilling to let her heart distract her, she accepts help from a band of Unseelie misfits with their own secret agenda. As Brie spends time with their mysterious leader, Finn, she struggles to resist his seductive charm.Caught between two dangerous courts, Brie must decide who to trust with her loyalty. And with her heart."
,,,,,11372.0,0.617,,The Secret Diary of Anne Boleyn,"In this ""energetic"" (Kirkus Reviews) re-creation of Anne Boleyn's tragic life -- and death -- Robin Maxwell offers a pitch-perfect version of a bawdy and exuberant time filled with lust, betrayal, love, and murder.When the young Queen Elizabeth I is entrusted with Anne Boleyn's secret diary, she discovers a great deal about the much-maligned mother she never knew. And on learning the truth about her lascivious and despotic father, Henry VIII, she vows never to relinquish control to any man. But this avowal doesn't prevent Elizabeth from pursuing a torrid love affair with her horsemaster, Robin Dudley -- described with near-shocking candor -- as too are Anne's graphic trysts with a very persistent and lustful Henry. Blending a historian's attention to accuracy with a novelist's artful rendering, Maxwell weaves compelling descriptions of court life and devastating portraits of actual people into her naughty, page-turning tale. The result is a masterpiece of historical fiction -- so prophetic of our time that one would think it were ripped from today's headlines."
,,,,,7794.0,0.606,,Katherine Swynford: The Story of John of Gaunt and His Scandalous Duchess,"In her remarkable new book, Alison Weir recounts one of the greatest love stories of medieval England. It is the extraordinary tale of an exceptional woman, Katherine Swynford, who became first the mistress and later the wife of John of Gaunt, Duke of Lancaster.Katherine SwynfordÃ¢ÂÂs charismatic lover was one of the most powerful princes of the 14th century, the effective ruler of England behind the throne of his father Edward III in his declining years, and during the minority of his nephew, Richard II. Katherine herself was enigmatic and intriguing, renowned for her beauty, and regarded by some as dangerous. Her existence was played out against the backdrop of court life at the height of the age of chivalry and she knew most of the great figures of the time Ã¢ÂÂ including her brother-in-law, Geoffrey Chaucer. She lived through much of the Hundred Years War, the Black Death, and the PeasantsÃ¢ÂÂ Revolt. She knew loss, adversity, and heartbreak, and she survived them all triumphantly. Although KatherineÃ¢ÂÂs story provides unique insights into the life of a medieval woman, she was far from typical in that age. She was an important person in her own right, a woman who had remarkable opportunities, made her own choices, flouted convention, and took control of her own destiny Ã¢ÂÂ even of her own public image. Weir brilliantly retrieves Katherine Swynford from the footnotes of history and gives her life and breath again. Perhaps the most dynastically important woman within the English monarchy, she was the mother of the Beauforts and through them the ancestress of the Yorkist kings, the Tudors, the Stuarts, and every other sovereign since Ã¢ÂÂ a legacy that has shaped the history of Britain."
,,,,,8025.0,0.594,,The Life of Elizabeth I,"NEW YORK TIMES BESTSELLERPerhaps the most influential sovereign England has ever known, Queen Elizabeth I remained an extremely private person throughout her reign, keeping her own counsel and sharing secrets with no one--not even her closest, most trusted advisers. Now, in this brilliantly researched, fascinating new book, acclaimed biographer Alison Weir shares provocative new interpretations and fresh insights on this enigmatic figure.Against a lavish backdrop of pageantry and passion, intrigue and war, Weir dispels the myths surrounding Elizabeth I and examines the contradictions of her character. Elizabeth I loved the Earl of Leicester, but did she conspire to murder his wife? She called herself the Virgin Queen, but how chaste was she through dozens of liaisons? She never marriedÃ¢ÂÂwas her choice to remain single tied to the chilling fate of her mother, Anne Boleyn? An enthralling epic that is also an amazingly intimate portrait, The Life of Elizabeth I is a mesmerizing, stunning reading experience."
,,,,,2007.0,0.586,,The Lady Elizabeth,"Following the tremendous success of her first novel, Innocent Traitor, which recounted the riveting tale of the doomed Lady Jane Grey, acclaimed historian and New York Times bestselling author Alison Weir turns her masterly storytelling skills to the early life of young Elizabeth Tudor, who would grow up to become England's most intriguing and powerful queen. Even at age two, Elizabeth is keenly aware that people in the court of her father, King Henry VIII, have stopped referring to her as ""Lady Princess"" and now call her ""the Lady Elizabeth."" Before she is three, she learns of the tragic fate that has befallen her mother, the enigmatic and seductive Anne Boleyn, and that she herself has been declared illegitimate, an injustice that will haunt her."
,,,,,2008.0,0.57,,The Life and Death of Anne Boleyn,"This definitive full biography of Anne Boleyn, based on the latest scholarly research, focusses on AnneÃ¢ÂÂs life and legacy and establishes Anne as a figure of considerable importance and influence in her own right."
,,,,,4144.0,0.565,,The Warrior,"Bestselling author Nicole Jordan weaves a breathtakingly sensuous story of love and passion between the valiant Ariane of Claredon and the fierce knight who loses his heart to her. . . .For five turbulent years Ariane has dutifully prepared herself for marriage to King HenryÃ¢ÂÂs most trusted vassal, the legendary Norman knight Ranulf de Vernay. But cruel circumstance has branded ArianeÃ¢ÂÂs father a traitor to the crown. And now Ranulf is returning to Claredon, not as a bridegroom . . . but as a conqueror.Survivor of a hellish youth, Ranulf knows well the treacheries of noblewomenÃ¢ÂÂand mistrusts the regal, defiant beauty to whom he was once betrothed. But while he shields his wounded heart with impenetrable armor, she sears his soul with sensuous fire. Ranulf may have vowed to claim her lands and her body as his prize, but ultimately it is the mighty warrior who must surrender to ArianeÃ¢ÂÂs proud, determined passionÃ¢ÂÂand her remarkable healing love."
